Settlement Date,Symbol,Current Short,Previous Short,Chg,% Change from Previous
3/28/2024,AAPL,108782648,110863064,-2080416,-1.88
3/15/2024,AAPL,110863064,111927679,-1064615,-0.95
2/29/2024,AAPL,111927679,97665956,14261723,14.6
2/15/2024,AAPL,97665956,99244672,-1578716,-1.59
1/31/2024,AAPL,99244672,101263039,-2018367,-1.99
1/12/2024,AAPL,101263039,108220157,-6957118,-6.43
12/29/2023,AAPL,108220157,120233720,-12013563,-9.99
12/15/2023,AAPL,120233720,110653413,9580307,8.66
11/30/2023,AAPL,110653413,105837123,4816290,4.55
11/15/2023,AAPL,105837123,98190963,7646160,7.79
10/31/2023,AAPL,98190963,93026130,5164833,5.55
10/13/2023,AAPL,93026130,94725628,-1699498,-1.79
9/29/2023,AAPL,94725628,107325921,-12600293,-11.74
9/15/2023,AAPL,107325921,102091714,5234207,5.13
8/31/2023,AAPL,102091714,88851550,13240164,14.9
8/15/2023,AAPL,88852352,105460144,-16607792,-15.75
7/31/2023,AAPL,105460144,126626604,-21166460,-16.72
7/14/2023,AAPL,126626604,117870227,8756377,7.43
6/30/2023,AAPL,117870227,121254451,-3384224,-2.79
6/15/2023,AAPL,121254451,117654782,3599669,3.06
5/31/2023,AAPL,117654782,109883384,7771398,7.07
5/15/2023,AAPL,109878751,124657645,-14778894,-11.86
4/28/2023,AAPL,124657645,114987957,9669688,8.41
4/14/2023,AAPL,114987957,111566048,3421909,3.07
3/31/2023,AAPL,111566048,107424880,4141168,3.85
3/15/2023,AAPL,107424880,110773312,-3348432,-3.02
2/28/2023,AAPL,110773312,104341256,6432056,6.16
2/15/2023,AAPL,104341256,115480341,-11139085,-9.65
1/31/2023,AAPL,115480341,121868919,-6388578,-5.24
1/13/2023,AAPL,121868919,124024570,-2155651,-1.74
12/30/2022,AAPL,124024570,121757434,2267136,1.86
12/15/2022,AAPL,121757434,125719918,-3962484,-3.15
11/30/2022,AAPL,125719918,114431895,11288023,9.86
11/15/2022,AAPL,114431895,103178670,11253225,10.91
10/31/2022,AAPL,103178670,108664761,-5486091,-5.05
10/14/2022,AAPL,108664761,103251184,5413577,5.24
9/30/2022,AAPL,103251184,116076947,-12825763,-11.05
9/15/2022,AAPL,116076947,113066596,3010351,2.66
8/31/2022,AAPL,113066596,115400891,-2334295,-2.02
8/15/2022,AAPL,115400891,107535584,7865307,7.31
7/29/2022,AAPL,107535584,104993162,2542422,2.42
7/15/2022,AAPL,104993162,112994371,-8001209,-7.08
6/30/2022,AAPL,112994371,120066688,-7072317,-5.89
6/15/2022,AAPL,120066688,113283277,6783411,5.99
5/31/2022,AAPL,113283277,108695931,4587346,4.22
5/13/2022,AAPL,108695931,103977276,4718655,4.54
4/29/2022,AAPL,103977276,103292182,685094,0.66
4/14/2022,AAPL,103292182,101969098,1323084,1.3
3/31/2022,AAPL,101969098,111286790,-9317692,-8.37
3/15/2022,AAPL,111286790,110322490,964300,0.87
2/28/2022,AAPL,110322490,108944701,1377789,1.26
2/15/2022,AAPL,108944701,91388112,17556589,19.21
1/31/2022,AAPL,91388112,90492581,895531,0.99
1/14/2022,AAPL,90492581,95908325,-5415744,-5.65
12/31/2021,AAPL,95908325,113277024,-17368699,-15.33
12/15/2021,AAPL,113277024,112598907,678117,0.6
11/30/2021,AAPL,112598907,99688619,12910288,12.95
11/15/2021,AAPL,99688619,100495541,-806922,-0.8
10/29/2021,AAPL,100495541,100881318,-385777,-0.38
10/15/2021,AAPL,100881318,101107412,-226094,-0.22
9/30/2021,AAPL,101107412,100926641,180771,0.18
9/15/2021,AAPL,100926641,96838699,4087942,4.22
8/31/2021,AAPL,96838699,93105968,3732731,4.01
8/13/2021,AAPL,93105968,93114834,-8866,-0.01
7/30/2021,AAPL,93114834,96355309,-3240475,-3.36
7/15/2021,AAPL,96355309,90213531,6141778,6.81
6/30/2021,AAPL,90213531,108937943,-18724412,-17.19
6/15/2021,AAPL,108937943,123051652,-14113709,-11.47
5/28/2021,AAPL,123121920,94747255,28374665,29.95
5/14/2021,AAPL,94747255,82710348,12036907,14.55
4/30/2021,AAPL,82710348,127637729,-44927381,-35.2
4/15/2021,AAPL,127937929,99488771,28449158,28.6
3/31/2021,AAPL,101484668,107011007,-5526339,-5.16
3/15/2021,AAPL,107011007,100799312,6211695,6.16
2/26/2021,AAPL,100799312,88329668,12469644,14.12
2/12/2021,AAPL,88329668,91862600,-3532932,-3.85
1/29/2021,AAPL,91862600,99897228,-8034628,-8.04
1/15/2021,AAPL,99897228,91091816,8805412,9.67
12/31/2020,AAPL,91091816,94721417,-3629601,-3.83
12/15/2020,AAPL,94721417,89985311,4736106,5.26
11/30/2020,AAPL,89985311,87564487,2420824,2.76
11/13/2020,AAPL,87564487,80528396,7036091,8.74
10/30/2020,AAPL,80528396,83252544,-2724148,-3.27
10/15/2020,AAPL,83252522,88087882,-4835360,-5.49
9/30/2020,AAPL,88087882,90218872,-2130990,-2.36
9/15/2020,AAPL,90218872,79684337,10534535,13.22
8/31/2020,AAPL,79684337,23658754,56025583,236.81
8/14/2020,AAPL,23658754,26502377,-2843623,-10.73
7/31/2020,AAPL,26502377,35234606,-8732229,-24.78
7/15/2020,AAPL,35234606,33962851,1271755,3.74
6/30/2020,AAPL,33962851,34828293,-865442,-2.48
6/15/2020,AAPL,34828293,34194077,634216,1.85
5/29/2020,AAPL,34194077,33592445,601632,1.79
5/15/2020,AAPL,33592445,30282092,3310353,10.93
4/30/2020,AAPL,30124922,34636195,-4511273,-13.02
4/15/2020,AAPL,34636195,39059449,-4423254,-11.32
3/31/2020,AAPL,39059449,38427917,631532,1.64
3/13/2020,AAPL,38427917,29008504,9419413,32.47
2/28/2020,AAPL,29008504,40890848,-11882344,-29.06
2/14/2020,AAPL,40890848,41543664,-652816,-1.57
1/31/2020,AAPL,41543664,41597446,-53782,-0.13
1/15/2020,AAPL,41597446,45514898,-3917452,-8.61
12/31/2019,AAPL,45514898,50745596,-5230698,-10.31
12/13/2019,AAPL,50745596,63489595,-12743999,-20.07
11/29/2019,AAPL,63489595,46016361,17473234,37.97
11/15/2019,AAPL,46016361,45151775,864586,1.91
10/31/2019,AAPL,45151775,48022677,-2870902,-5.98
10/15/2019,AAPL,48022677,43933897,4088780,9.31
9/30/2019,AAPL,43933897,42651634,1282263,3.01
9/13/2019,AAPL,42651634,39517330,3134304,7.93
8/30/2019,AAPL,39517330,45594258,-6076928,-13.33
8/15/2019,AAPL,45594258,43005960,2588298,6.02
7/31/2019,AAPL,43005960,42428971,576989,1.36
7/15/2019,AAPL,42428971,43448528,-1019557,-2.35
6/28/2019,AAPL,43448528,47003511,-3554983,-7.56
6/14/2019,AAPL,47003511,51257104,-4253593,-8.3
5/31/2019,AAPL,51257104,49550348,1706756,3.44
5/15/2019,AAPL,49550348,52669476,-3119128,-5.92
4/30/2019,AAPL,52669476,61003851,-8334375,-13.66
4/15/2019,AAPL,61003851,67786010,-6782159,-10.01
3/29/2019,AAPL,67786010,72751656,-4965646,-6.83
3/15/2019,AAPL,72751656,96832513,-24080857,-24.87
2/28/2019,AAPL,96832513,39903215,56929298,142.67
2/15/2019,AAPL,39903215,40360782,-457567,-1.13
1/31/2019,AAPL,40360782,46579709,-6218927,-13.35
1/15/2019,AAPL,46579709,45279694,1300015,2.87
12/31/2018,AAPL,45279694,45280056,-362,0
12/14/2018,AAPL,45280056,44915125,364931,0.81
11/30/2018,AAPL,44915125,41791371,3123754,7.47
11/15/2018,AAPL,41791371,36469092,5322279,14.59
10/31/2018,AAPL,36469092,40148064,-3678972,-9.16
10/15/2018,AAPL,40148048,40204115,-56067,-0.14
9/28/2018,AAPL,40204115,46818683,-6614568,-14.13
9/14/2018,AAPL,46818683,47549672,-730989,-1.54
8/31/2018,AAPL,47549672,42160518,5389154,12.78
8/15/2018,AAPL,42160518,37268767,4891751,13.13
7/31/2018,AAPL,37268767,42845978,-5577211,-13.02
7/13/2018,AAPL,42845978,38077092,4768886,12.52
6/29/2018,AAPL,38080068,45270714,-7190646,-15.88
6/15/2018,AAPL,45270714,45958599,-687885,-1.5
5/31/2018,AAPL,45958599,46385494,-426895,-0.92
5/15/2018,AAPL,46385494,50912078,-4526584,-8.89
4/30/2018,AAPL,50912078,56206108,-5294030,-9.42
4/13/2018,AAPL,56206108,54928404,1277704,2.33
3/29/2018,AAPL,54928404,67276061,-12347657,-18.35
3/15/2018,AAPL,67276061,58730906,8545155,14.55
2/28/2018,AAPL,58730906,49152571,9578335,19.49
2/15/2018,AAPL,49152571,42078757,7073814,16.81
1/31/2018,AAPL,42078657,46689117,-4610460,-9.87
1/12/2018,AAPL,46689117,45746430,942687,2.06
12/29/2017,AAPL,45746430,52153724,-6407294,-12.29
