security,ticker,OddLotVol,date,qtr
Stock,AAPL,895.518,12/29/2017,12/31/2017
Stock,AAPL,1249.882,1/2/2018,3/31/2018
Stock,AAPL,1345.66,1/3/2018,3/31/2018
Stock,AAPL,1150.751,1/4/2018,3/31/2018
Stock,AAPL,1075.813,1/5/2018,3/31/2018
Stock,AAPL,966.82,1/8/2018,3/31/2018
Stock,AAPL,1218.482,1/9/2018,3/31/2018
Stock,AAPL,1180.847,1/10/2018,3/31/2018
Stock,AAPL,841.756,1/11/2018,3/31/2018
Stock,AAPL,1199.644,1/12/2018,3/31/2018
Stock,AAPL,1463.658,1/16/2018,3/31/2018
Stock,AAPL,1570.603,1/17/2018,3/31/2018
Stock,AAPL,1256.186,1/18/2018,3/31/2018
Stock,AAPL,1115.345,1/19/2018,3/31/2018
Stock,AAPL,1140.444,1/22/2018,3/31/2018
Stock,AAPL,1458.164,1/23/2018,3/31/2018
Stock,AAPL,2376.355,1/24/2018,3/31/2018
Stock,AAPL,2034.631,1/25/2018,3/31/2018
Stock,AAPL,1537.08,1/26/2018,3/31/2018
Stock,AAPL,2301.944,1/29/2018,3/31/2018
Stock,AAPL,2098.203,1/30/2018,3/31/2018
Stock,AAPL,1508.533,1/31/2018,3/31/2018
Stock,AAPL,1871.606,2/1/2018,3/31/2018
Stock,AAPL,4171.582,2/2/2018,3/31/2018
Stock,AAPL,3670.197,2/5/2018,3/31/2018
Stock,AAPL,3461.585,2/6/2018,3/31/2018
Stock,AAPL,2042.226,2/7/2018,3/31/2018
Stock,AAPL,2227.818,2/8/2018,3/31/2018
Stock,AAPL,2780.921,2/9/2018,3/31/2018
Stock,AAPL,2309.325,2/12/2018,3/31/2018
Stock,AAPL,1496.819,2/13/2018,3/31/2018
Stock,AAPL,1989.023,2/14/2018,3/31/2018
Stock,AAPL,2361.279,2/15/2018,3/31/2018
Stock,AAPL,1725.851,2/16/2018,3/31/2018
Stock,AAPL,1548.896,2/20/2018,3/31/2018
Stock,AAPL,1603.597,2/21/2018,3/31/2018
Stock,AAPL,1512.82,2/22/2018,3/31/2018
Stock,AAPL,1482.77,2/23/2018,3/31/2018
Stock,AAPL,1697.103,2/26/2018,3/31/2018
Stock,AAPL,1917.694,2/27/2018,3/31/2018
Stock,AAPL,1392.961,2/28/2018,3/31/2018
Stock,AAPL,3065.658,3/1/2018,3/31/2018
Stock,AAPL,1582.869,3/2/2018,3/31/2018
Stock,AAPL,1303.493,3/5/2018,3/31/2018
Stock,AAPL,1227.667,3/6/2018,3/31/2018
Stock,AAPL,1570.509,3/7/2018,3/31/2018
Stock,AAPL,1110.871,3/8/2018,3/31/2018
Stock,AAPL,1531.721,3/9/2018,3/31/2018
Stock,AAPL,1335.217,3/12/2018,3/31/2018
Stock,AAPL,1607.193,3/13/2018,3/31/2018
Stock,AAPL,1659.852,3/14/2018,3/31/2018
Stock,AAPL,1225.743,3/15/2018,3/31/2018
Stock,AAPL,1127.131,3/16/2018,3/31/2018
Stock,AAPL,2143.115,3/19/2018,3/31/2018
Stock,AAPL,1053.186,3/20/2018,3/31/2018
Stock,AAPL,1854.263,3/21/2018,3/31/2018
Stock,AAPL,2218.827,3/22/2018,3/31/2018
Stock,AAPL,2485.904,3/23/2018,3/31/2018
Stock,AAPL,1797.371,3/26/2018,3/31/2018
Stock,AAPL,2430.992,3/27/2018,3/31/2018
Stock,AAPL,2781.349,3/28/2018,3/31/2018
Stock,AAPL,1789.799,3/29/2018,3/31/2018
Stock,AAPL,2534.864,4/2/2018,6/30/2018
Stock,AAPL,1961.635,4/3/2018,6/30/2018
Stock,AAPL,2067.3,4/4/2018,6/30/2018
Stock,AAPL,1570.777,4/5/2018,6/30/2018
Stock,AAPL,2289.15,4/6/2018,6/30/2018
Stock,AAPL,1738.579,4/9/2018,6/30/2018
Stock,AAPL,1683.852,4/10/2018,6/30/2018
Stock,AAPL,1332.331,4/11/2018,6/30/2018
Stock,AAPL,1246.178,4/12/2018,6/30/2018
Stock,AAPL,1313.975,4/13/2018,6/30/2018
Stock,AAPL,1200.205,4/16/2018,6/30/2018
Stock,AAPL,1422.122,4/17/2018,6/30/2018
Stock,AAPL,1132.344,4/18/2018,6/30/2018
Stock,AAPL,1662.149,4/19/2018,6/30/2018
Stock,AAPL,2988.13,4/20/2018,6/30/2018
Stock,AAPL,1772.175,4/23/2018,6/30/2018
Stock,AAPL,2160.444,4/24/2018,6/30/2018
Stock,AAPL,1607.276,4/25/2018,6/30/2018
Stock,AAPL,1583.962,4/26/2018,6/30/2018
Stock,AAPL,2000.896,4/27/2018,6/30/2018
Stock,AAPL,2056.928,4/30/2018,6/30/2018
Stock,AAPL,2386.254,5/1/2018,6/30/2018
Stock,AAPL,3399.689,5/2/2018,6/30/2018
Stock,AAPL,2123.685,5/3/2018,6/30/2018
Stock,AAPL,2876.159,5/4/2018,6/30/2018
Stock,AAPL,1736.296,5/7/2018,6/30/2018
Stock,AAPL,1331.517,5/8/2018,6/30/2018
Stock,AAPL,1152.172,5/9/2018,6/30/2018
Stock,AAPL,1290.702,5/10/2018,6/30/2018
Stock,AAPL,1146.373,5/11/2018,6/30/2018
Stock,AAPL,930.73,5/14/2018,6/30/2018
Stock,AAPL,1380.015,5/15/2018,6/30/2018
Stock,AAPL,994.965,5/16/2018,6/30/2018
Stock,AAPL,853.21,5/17/2018,6/30/2018
Stock,AAPL,886.762,5/18/2018,6/30/2018
Stock,AAPL,948.565,5/21/2018,6/30/2018
Stock,AAPL,834.227,5/22/2018,6/30/2018
Stock,AAPL,1143.537,5/23/2018,6/30/2018
Stock,AAPL,1114.103,5/24/2018,6/30/2018
Stock,AAPL,1047.755,5/25/2018,6/30/2018
Stock,AAPL,1424.789,5/29/2018,6/30/2018
Stock,AAPL,1046.505,5/30/2018,6/30/2018
Stock,AAPL,1285.427,5/31/2018,6/30/2018
Stock,AAPL,1307.07,6/1/2018,6/30/2018
Stock,AAPL,1348.949,6/4/2018,6/30/2018
Stock,AAPL,1144.001,6/5/2018,6/30/2018
Stock,AAPL,1101.209,6/6/2018,6/30/2018
Stock,AAPL,1206.94,6/7/2018,6/30/2018
Stock,AAPL,1421.689,6/8/2018,6/30/2018
Stock,AAPL,1055.031,6/11/2018,6/30/2018
Stock,AAPL,1210.907,6/12/2018,6/30/2018
Stock,AAPL,1389.018,6/13/2018,6/30/2018
Stock,AAPL,1277.727,6/14/2018,6/30/2018
Stock,AAPL,1743.706,6/15/2018,6/30/2018
Stock,AAPL,1122.385,6/18/2018,6/30/2018
Stock,AAPL,1866.031,6/19/2018,6/30/2018
Stock,AAPL,1137.053,6/20/2018,6/30/2018
Stock,AAPL,1422.446,6/21/2018,6/30/2018
Stock,AAPL,1096.513,6/22/2018,6/30/2018
Stock,AAPL,2075.898,6/25/2018,6/30/2018
Stock,AAPL,1449.039,6/26/2018,6/30/2018
Stock,AAPL,1569,6/27/2018,6/30/2018
Stock,AAPL,1393.161,6/28/2018,6/30/2018
Stock,AAPL,1206.522,6/29/2018,6/30/2018
Stock,AAPL,1141.904,7/2/2018,9/30/2018
Stock,AAPL,873.744,7/3/2018,9/30/2018
Stock,AAPL,1211.179,7/5/2018,9/30/2018
Stock,AAPL,1238.52,7/6/2018,9/30/2018
Stock,AAPL,1174.983,7/9/2018,9/30/2018
Stock,AAPL,1065.545,7/10/2018,9/30/2018
Stock,AAPL,1183.557,7/11/2018,9/30/2018
Stock,AAPL,1190.349,7/12/2018,9/30/2018
Stock,AAPL,816.651,7/13/2018,9/30/2018
Stock,AAPL,793.186,7/16/2018,9/30/2018
Stock,AAPL,1211.33,7/17/2018,9/30/2018
Stock,AAPL,1048.856,7/18/2018,9/30/2018
Stock,AAPL,1332.633,7/19/2018,9/30/2018
Stock,AAPL,1084.634,7/20/2018,9/30/2018
Stock,AAPL,1089.468,7/23/2018,9/30/2018
Stock,AAPL,1336.732,7/24/2018,9/30/2018
Stock,AAPL,1264.425,7/25/2018,9/30/2018
Stock,AAPL,1375.197,7/26/2018,9/30/2018
Stock,AAPL,2078.353,7/27/2018,9/30/2018
Stock,AAPL,1631.99,7/30/2018,9/30/2018
Stock,AAPL,2539.447,7/31/2018,9/30/2018
Stock,AAPL,3806.367,8/1/2018,9/30/2018
Stock,AAPL,4230.146,8/2/2018,9/30/2018
Stock,AAPL,2397.38,8/3/2018,9/30/2018
Stock,AAPL,1353.525,8/6/2018,9/30/2018
Stock,AAPL,1676.118,8/7/2018,9/30/2018
Stock,AAPL,1391.265,8/8/2018,9/30/2018
Stock,AAPL,1369.642,8/9/2018,9/30/2018
Stock,AAPL,1660.42,8/10/2018,9/30/2018
Stock,AAPL,2071.955,8/13/2018,9/30/2018
Stock,AAPL,1504.057,8/14/2018,9/30/2018
Stock,AAPL,2524.933,8/15/2018,9/30/2018
Stock,AAPL,1661.907,8/16/2018,9/30/2018
Stock,AAPL,2324.149,8/17/2018,9/30/2018
Stock,AAPL,1955.012,8/20/2018,9/30/2018
Stock,AAPL,1804.398,8/21/2018,9/30/2018
Stock,AAPL,1296.599,8/22/2018,9/30/2018
Stock,AAPL,1336.013,8/23/2018,9/30/2018
Stock,AAPL,1216.19,8/24/2018,9/30/2018
Stock,AAPL,1432.623,8/27/2018,9/30/2018
Stock,AAPL,1561.098,8/28/2018,9/30/2018
Stock,AAPL,1962.739,8/29/2018,9/30/2018
Stock,AAPL,3457.68,8/30/2018,9/30/2018
Stock,AAPL,2528.161,8/31/2018,9/30/2018
Stock,AAPL,1985.072,9/4/2018,9/30/2018
Stock,AAPL,2596.606,9/5/2018,9/30/2018
Stock,AAPL,2790.119,9/6/2018,9/30/2018
Stock,AAPL,3025.355,9/7/2018,9/30/2018
Stock,AAPL,3479.247,9/10/2018,9/30/2018
Stock,AAPL,3256.849,9/11/2018,9/30/2018
Stock,AAPL,4637.085,9/12/2018,9/30/2018
Stock,AAPL,3421.214,9/13/2018,9/30/2018
Stock,AAPL,2509.812,9/14/2018,9/30/2018
